serial_no,abandon_dt,amend_reg_dt,amend_lb_for_app_in,amend_lb_for_reg_in,amend_lb_itu_in,amend_lb_use_in,reg_cancel_cd,reg_cancel_dt,cancel_pend_in,cert_mark_in,chg_reg_in,coll_memb_mark_in,coll_serv_mark_in,coll_trade_mark_in,draw_color_cur_in,draw_color_file_in,concur_use_in,concur_use_pend_in,file_location,draw_3d_cur_in,draw_3d_file_in,exm_attorney_name,lb_use_file_in,lb_for_app_cur_in,lb_for_reg_cur_in,lb_intl_reg_cur_in,lb_for_app_file_in,lb_for_reg_file_in,lb_intl_reg_file_in,lb_none_cur_in,filing_dt,for_priority_in,lb_itu_cur_in,lb_itu_file_in,interfer_pend_in,exm_office_cd,file_location_dt,mark_draw_cd,mark_id_char,opposit_pend_in,amend_principal_in,concur_use_pub_in,publication_dt,registration_dt,renewal_dt,renewal_file_in,repub_12c_dt,repub_12c_in,incontest_ack_in,incontest_file_in,acq_dist_in,acq_dist_part_in,use_afdv_acc_in,use_afdv_file_in,use_afdv_par_acc_in,serv_mark_in,std_char_claim_in,cfh_status_cd,cfh_status_dt,amend_supp_reg_in,supp_reg_in,trade_mark_in,lb_use_cur_in,lb_none_file_in,ir_auto_reg_dt,ir_first_refus_in,ir_death_dt,ir_publication_dt,ir_registration_dt,ir_registration_no,ir_renewal_dt,ir_status_cd,ir_status_dt,ir_priority_dt,ir_priority_in,related_other_in,registration_no,tad_file_id
71230269,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,FILE REPOSITORY (FRANCONIA),0,0,,1,0,0,0,0,0,0,0,1926-04-15,0,0,0,0,000,1999-04-09,5000,STANLEY,0,0,0,,1926-11-16,1966-11-16,0,,0,0,0,0,0,0,0,0,0,0,900,1989-01-04,0,0,1,1,0,,,,,,,,,,,,,220695,5
71233923,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,FILE REPOSITORY (FRANCONIA),0,0,,1,0,0,0,0,0,0,0,1926-06-30,0,0,0,0,000,1999-04-09,5000,DISNEY,0,0,0,,1926-10-19,1966-10-19,0,1949-02-01,1,1,0,0,0,1,0,0,0,0,900,1989-01-04,0,0,1,1,0,,,,,,,,,,,,0.0,219642,5
71241505,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,FILE DESTROYED,0,0,,1,0,0,0,0,0,0,0,1926-12-14,0,0,0,0,000,1994-03-05,5000,DELEGON,0,0,0,,1927-04-05,1967-04-05,0,,0,0,0,0,0,0,0,0,0,0,900,1988-12-31,0,0,1,1,0,,,,,,,,,,,,,226372,5
71246138,,,0,0,0,0,,,0,0,1,0,0,0,0,0,0,0,FILE REPOSITORY (FRANCONIA),0,0,,1,0,0,0,0,0,0,0,1927-03-21,0,0,0,0,000,2000-05-11,5T09,MERCEDES,0,0,0,1927-05-31,1928-03-27,1988-03-27,0,1949-03-29,1,1,0,0,0,1,0,0,0,0,900,2000-05-11,0,0,1,1,0,,,,,,,,,,,,,240440,5
71263712,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,FILE DESTROYED,0,0,,1,0,0,0,0,0,0,0,1928-03-24,0,0,0,0,000,1996-05-14,5000,MARVELTONE,0,0,0,,1928-08-07,1968-08-07,0,,0,0,0,0,0,0,0,0,0,0,900,1992-11-03,0,0,1,1,0,,,,,,,,,,,,,245110,5
71270961,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,FILE DESTROYED,0,0,,1,0,0,0,0,0,0,0,1928-08-13,0,0,0,0,000,1996-05-30,3000,MARVEL MYSTERY MM,0,0,0,,1930-04-08,1970-04-08,0,1950-06-27,1,1,0,0,0,1,0,0,0,0,900,1992-11-03,0,0,1,1,0,,,,,,,,,,,,,269513,5
71276292,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,FILE DESTROYED,0,0,,1,0,0,0,0,0,0,0,1928-12-05,0,0,0,0,000,1996-05-17,3000,"H.F. BYRD VIRGINIA APPLES WINCHESTER, VA.",0,0,0,,1929-03-26,1969-03-26,0,1948-09-21,1,1,0,0,0,1,0,0,0,0,900,1992-11-03,0,0,1,1,0,,,,,,,,,,,,,254636,5
71276350,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,FILE DESTROYED,0,0,,1,0,0,0,0,0,0,0,1928-12-05,0,0,0,0,000,1996-05-17,5000,MARVELTONE,0,0,0,,1929-06-18,1969-06-18,0,,0,0,0,0,0,0,0,0,0,0,900,1992-11-03,0,0,1,1,0,,,,,,,,,,,,0.0,257787,5
71288586,,,0,0,0,0,,,0,0,1,0,0,0,0,0,0,0,GENERIC WEB UPDATE,0,0,,1,0,1,0,0,1,0,0,1929-08-16,0,0,0,0,,2021-12-31,3000,MERCEDES BENZ,0,0,0,,1931-07-28,2021-07-28,0,,0,0,0,0,0,1,0,0,0,0,800,2021-12-31,0,0,1,1,0,,,,,,,,,,,,0.0,285557,5
71288587,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,FILE REPOSITORY (FRANCONIA),0,0,,1,0,1,0,0,1,0,0,1929-08-16,0,0,0,0,000,1999-02-12,3T19,MERCEDES BENZ,0,0,0,,1930-12-16,1990-12-16,0,,0,0,0,0,0,0,0,0,0,0,900,2001-12-22,0,0,1,1,0,,,,,,,,,,,,1.0,278454,5
71302693,,,0,0,0,0,1,1990-09-25,0,0,0,0,0,0,0,0,0,0,FILE DESTROYED,0,0,,1,0,0,0,0,0,0,0,1930-06-21,0,0,0,0,000,1994-03-05,5T07,CHANELLE,0,0,0,,1930-11-25,1970-11-25,0,1948-07-13,1,1,0,0,0,1,0,0,0,0,711,1990-09-25,0,0,1,1,0,,,,,,,,,,,,,277671,5
71311936,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,FILE DESTROYED,0,0,,1,0,0,0,0,0,0,0,1931-03-09,0,0,0,0,000,1996-06-01,1000,STANLEY,0,0,0,,1931-08-04,1971-08-04,0,1990-07-17,1,0,0,0,0,0,0,0,0,0,900,1992-11-03,0,0,1,1,0,,,,,,,,,,,,0.0,285728,5
71312020,,,0,0,0,0,2,1997-01-20,0,0,0,0,0,0,0,0,0,0,FILE REPOSITORY (FRANCONIA),0,0,,1,0,0,0,0,0,0,0,1931-03-11,0,0,0,0,000,1992-09-02,3S07,STANLEY,0,0,0,,1931-10-06,1991-10-06,0,1990-07-17,1,0,0,0,0,0,0,0,0,0,710,1997-01-20,0,0,1,1,0,,,,,,,,,,,,0.0,287704,5
71318979,,,0,0,0,0,,,0,0,1,0,0,0,0,0,0,0,FILE REPOSITORY (FRANCONIA),0,0,,1,0,0,0,0,0,0,0,1931-09-12,0,0,0,0,000,1992-11-18,5T09,EDIPHONE,0,0,0,,1932-07-19,1992-07-19,0,,0,0,0,0,0,0,0,0,0,0,900,2003-04-26,0,0,1,1,0,,,,,,,,,,,,0.0,295886,5
