case_row_id,case_number,case_number_raw,district_id,court_name,pacer_id,case_name,assigned_to,referred_to,case_cause,jurisdictional_basis,date_filed,date_closed,date_last_filed,jury_demand,demand,lead_case,related_case,settlement,case_type_1,case_type_2,case_type_3,case_type_note
13593.0,1:06-cv-01694,1:06-cv-01694-RMU,dcd,DC District Court,122659.0,BELL HELICOPTER TEXTRON INC. et al v. ISLAMIC REPUBLIC OF IRAN et al,Judge Ricardo M. Urbina,,15:1114 Trademark Infringement,Federal Question,2006-09-29,2011-02-11,2013-12-16,,,,12-07103,,1.0,,,
10932.0,1:03-cv-01594,1:03-cv-01594-RMC,dcd,DC District Court,3249.0,RENESAS TECHNOLOGY CORPORATION v. SANDISK CORPORATION,Judge Rosemary M. Collyer,,35:145 Patent Infringement,Federal Question,2003-07-25,2004-01-07,2004-03-29,,,,,,11.0,,,
10863.0,1:03-cv-01116,1:03-cv-01116-RMU,dcd,DC District Court,2596.0,"MUTUAL PHARMACEUTICAL COMPANY, INC. v. PFIZER, INC.",Judge Ricardo M. Urbina,,35:271 Patent Infringement,Federal Question,2003-05-23,2004-03-24,2004-04-30,,,,"United States Court of Appeals for the Federal Ci, 04-01343",,3.0,,,
13598.0,1:06-cv-01747,1:06-cv-01747-RMC,dcd,DC District Court,122804.0,CARTIER v. WING HON METAL MANUFACTORY LTD.,Judge Rosemary M. Collyer,,28:2201 Declaratory Judgement,Federal Question,2006-10-13,2007-11-28,2010-01-11,Plaintiff,,,,,2.0,,,
13555.0,1:06-cv-01261,1:06-cv-01261-PLF,dcd,DC District Court,121621.0,MEDICAL SOLUTIONS INC v. C CHANGE SURGICAL LLC,Judge Paul L. Friedman,,28:1338 Patent Infringement,Federal Question,2006-07-14,2006-12-29,2010-01-08,Plaintiff,,,,,1.0,,,
12748.0,1:05-cv-01582,1:05-cv-01582-JR,dcd,DC District Court,116411.0,NEW YORK AIR BRAKE CORPORATION v. WESTINGHOUSE AIR BRAKE TECHNOLOGIES CORPORATION,Judge James Robertson,,35:145 Patent Infringement,Federal Question,2005-08-08,2006-02-02,2009-12-08,,,,,,4.0,6.0,11.0,
14342.0,1:07-cv-01118,1:07-cv-01118-RDM,dcd,DC District Court,126215.0,FUJIFILM CORPORATION et al v. PAPST LICENSING GMBH & CO. KG,Judge Rosemary M. Collyer,,28:2201 Declaratory Judgment,Federal Question,2007-06-21,2011-12-21,2010-02-12,Plaintiff,,,1:06-cv-01942-GK; 1:07-cv-01222-RMC; 1:07-mc-00493-RMC,,2.0,,,
10990.0,1:03-cv-02234,1:03-cv-02234-JR,dcd,DC District Court,104301.0,"GAIA HERBS, INC. v. VITALITY WORKS, INC.",Judge James Robertson,,35:271 Patent Infringement,Federal Question,2003-10-31,2004-10-29,2004-04-07,Plaintiff,,,,,1.0,,,
11909.0,1:04-cv-01972,1:04-cv-01972-JR,dcd,DC District Court,111791.0,"155030 CANADA, INC. v. MAGNET 4U CO., LTD.",Judge James Robertson,,28:2201 Declaratory Judgment,Federal Question,2004-11-12,2006-05-15,2006-03-06,,,,,,2.0,,,
13518.0,1:06-cv-01014,1:06-cv-01014-JR,dcd,DC District Court,120972.0,"DOW JONES & COMPANY, INC. v. ABLAISE LTD et al",Judge James Robertson,,28:2201 Declaratory Judgement,Federal Question,2006-06-01,2009-07-15,2010-07-13,Plaintiff,,,1:07-cv-01836; 1:07-cv-01836-JR,,1.0,,,
11452.0,1:04-cv-00140,1:04-cv-00140-PLF,dcd,DC District Court,107037.0,"ASML NETHERLANDS, B.V. v. NIKON CORPORATION",Judge Paul L. Friedman,,35:146 Patent Interference - Dissatisfaction,Federal Question,2004-01-30,2005-03-30,2005-03-30,,,,,,1.0,,,
14145.0,1:07-cv-00487,1:07-cv-00487-RCL,dcd,DC District Court,124685.0,"PURDUE NEUROSCIENCE COMPANY v. NEWRON PHARMACEUTICALS, S.P.A.",Chief Judge Royce C. Lamberth,,35:145 Patent Infringement,Federal Question,2007-03-12,2007-07-31,2010-01-20,,,,,,6.0,11.0,,
14125.0,1:07-cv-00416,1:07-cv-00416-WMN,dcd,DC District Court,124544.0,EPOS TECHNOLOGIES LTD v. PEGASUS TECHNOLOGIES LTD.,Judge Richard W. Roberts,,35:145 Patent Infringement,Federal Question,2007-03-01,2013-01-10,2015-06-01,Plaintiff,,,,,2.0,,,
14350.0,1:07-cv-01177,1:07-cv-01177-RBW,dcd,DC District Court,126345.0,"CODON DEVICES, INC. v. FEBIT BIOTECH GMBH et al",Judge Reggie B. Walton,,28:1338 Patent Infringement,Federal Question,2007-06-29,2008-01-03,2010-01-20,Plaintiff,,,,,2.0,,,
14232.0,1:07-cv-00730,1:07-cv-00730-HHK,dcd,DC District Court,125236.0,AMERICAN SAFETY RAZOR CO. v. SORENSEN RESEARCH & DEVELOPMENT TRUST,Judge Henry H. Kennedy,,28:1338 Patent Infringement,Federal Question,2007-04-20,2009-06-04,2010-01-20,Plaintiff,,,,,3.0,,,
10810.0,1:03-cv-00932,1:03-cv-00932-JDB,dcd,DC District Court,2386.0,INSTITUT PASTEUR v. CHIRON CORPORATION,Judge John D. Bates,,35:145 Patent Infringement,Federal Question,2003-04-23,2005-03-31,2006-06-29,,,,,,6.0,11.0,,
14407.0,1:07-cv-01695,1:07-cv-01695-PLF,dcd,DC District Court,127463.0,DOME PATENT LP v. DUDAS,Judge Paul L. Friedman,,35:145 Patent Infringement,U.S. Government Defendant,2007-09-24,2014-07-02,2020-05-15,,,,,,1.0,,,
11020.0,1:03-cv-02658,1:03-cv-02658-RCL,dcd,DC District Court,106582.0,"LG. PHILIPS LCD CO., LTD. v. OBAYASHI SEIKO (K.K.)",Chief Judge Royce C. Lamberth,,28:1338 Patent Infringement,Federal Question,2003-12-30,2004-09-13,2004-09-13,,,,,,4.0,,,
14392.0,1:07-cv-01504,1:07-cv-01504-ESH,dcd,DC District Court,127049.0,"HITACHI KOKI CO., LTD. v. DUKAS",Judge Ellen S. Huvelle,,35:145 Patent Infringement,Federal Question,2007-08-21,2009-05-29,2011-03-30,,,,"USCA for the Federal Circuit, 09-01548",,11.0,,,
13955.0,1:07-cv-00034,1:07-cv-00034-RC,dcd,DC District Court,123820.0,"NOVARTIS VACCINES AND DIAGNOSTICS, INC. v. INSTITUT PASTEUR et al",Judge Rudolph Contreras,,35:145 Patent Infringement,Federal Question,2007-01-05,2014-05-05,2014-05-02,,,,1:07-cv-02138-RWR; 1:08-cv-00161-RWR,,6.0,11.0,,
13519.0,1:06-cv-01015,1:06-cv-01015-JR,dcd,DC District Court,120977.0,"DOW JONES REUTERS BUSINESS INTERACTIVE, LLC v. ABLAISE LTD. et al",Judge James Robertson,,28:2201 Declaratory Judgement,Federal Question,2006-06-01,2009-07-15,2010-07-13,Plaintiff,,,1:07-cv-01836; 1:07-cv-01836-JR,,1.0,,,
14410.0,1:07-cv-01719,1:07-cv-01719-RWR,dcd,DC District Court,127531.0,CORNISH v. DUDAS et al,Judge Richard W. Roberts,,28:2201 Declaratory Judgement,U.S. Government Defendant,2007-09-26,2010-06-04,2011-11-08,,,,"08-05089; U. S. Court of Appeals - DC Circuit, 10-05236; USCA, 11-05278; USCA FOR THE FEDERAL CIRCUIT, 10-01433",,11.0,,,
14194.0,1:07-cv-00630,1:07-cv-00630-HHK,dcd,DC District Court,124969.0,"MERIAL LIMITED et al v. INTERVET, INC.",Judge Henry H. Kennedy,,35:145 Patent Infringement,Federal Question,2007-04-04,2008-02-29,2010-01-20,Plaintiff,$100000.00,,,,1.0,,,
14419.0,1:07-cv-01836,1:07-cv-01836,dcd,DC District Court,127764.0,ABLAISE LTD v. NAVTEQ CORP. et al,Judge James Robertson,,35:145 Patent Infringement,Federal Question,2007-10-11,2010-06-23,2010-06-23,Plaintiff,,,1:06-cv-01014-JR; 1:06-cv-01015-JR,,1.0,,,
10853.0,1:03-cv-01078,1:03-cv-01078-JDB,dcd,DC District Court,2536.0,"IMPERIAL SCHRADE CORP. v. KANTAS PRODUCTS CO., LTD. et al",Judge John D. Bates,,28:2201 Declaratory Judgement,Federal Question,2003-05-16,2003-07-11,2003-07-11,Plaintiff,,,,,2.0,,,
